age,churn,contract,country,customer_id,dependents,deviceprotection,discount_offered,gender,internetservice,last_activity,monthlycharges,multiplelines,onlinebackup,onlinesecurity,paperlessbilling,partner,paymentmethod,phoneservice,product_category,purchase_amount,region,satisfaction_score,seniorcitizen,streamingmovies,streamingtv,support_tickets_raised,techsupport,tenure,totalcharges,transaction_date,transaction_id,user_name
,No,Month-to-month,,TEL_6322-HRPFA,Yes,No,,Male,DSL,,59.6,No,Yes,Yes,No,Yes,Credit card (automatic),Yes,,,,,0,No,No,,Yes,49.0,2970.3,,,
,No,Month-to-month,,TEL_6865-JZNKO,No,No,,Female,DSL,,55.3,No,Yes,Yes,Yes,No,Bank transfer (automatic),Yes,,,,,0,No,No,,No,30.0,1530.6,,,
,Yes,Month-to-month,,TEL_6467-CHFZW,Yes,No,,Male,Fiber optic,,99.35,Yes,Yes,No,Yes,Yes,Electronic check,Yes,,,,,0,Yes,Yes,,No,47.0,4749.15,,,
,Yes,Month-to-month,,TEL_8665-UTDHZ,Yes,No,,Male,DSL,,30.2,No phone service,Yes,No,No,Yes,Electronic check,No,,,,,0,No,No,,No,1.0,30.2,,,
,No,Two year,,TEL_5248-YGIJN,No,Yes,,Male,DSL,,90.25,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,0,Yes,Yes,,Yes,72.0,6369.45,,,
,Yes,Month-to-month,,TEL_8773-HHUOZ,Yes,No,,Female,DSL,,64.7,No,No,No,Yes,No,Mailed check,Yes,,,,,0,Yes,Yes,,No,17.0,1093.1,,,
,No,Two year,,TEL_3841-NFECX,No,Yes,,Female,Fiber optic,,96.35,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,1,No,No,,Yes,71.0,6766.95,,,
,No,Month-to-month,,TEL_4929-XIHVW,No,Yes,,Male,Fiber optic,,95.5,No,No,No,Yes,Yes,Credit card (automatic),Yes,,,,,1,Yes,Yes,,No,2.0,181.65,,,
,No,One year,,TEL_6827-IEAUQ,Yes,Yes,,Female,DSL,,66.15,No,Yes,Yes,No,Yes,Mailed check,Yes,,,,,0,No,No,,Yes,27.0,1874.45,,,
,No,Month-to-month,,TEL_7310-EGVHZ,No,No internet service,,Male,No,,20.2,No,No internet service,No internet service,No,No,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,1.0,20.2,,,
,No,Month-to-month,,TEL_3413-BMNZE,No,No,,Male,DSL,,45.25,No,No,No,No,No,Bank transfer (automatic),Yes,,,,,1,No,No,,No,1.0,45.25,,,
,No,Two year,,TEL_6234-RAAPL,Yes,No,,Female,Fiber optic,,99.9,Yes,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,,,,,0,No,Yes,,Yes,72.0,7251.7,,,
,Yes,Month-to-month,,TEL_6047-YHPVI,No,No,,Male,Fiber optic,,69.7,No,No,No,Yes,No,Electronic check,Yes,,,,,0,No,No,,No,5.0,316.9,,,
,No,Month-to-month,,TEL_6572-ADKRS,No,Yes,,Female,Fiber optic,,74.8,No,No,No,Yes,No,Credit card (automatic),Yes,,,,,0,No,No,,No,46.0,3548.3,,,
,Yes,Month-to-month,,TEL_5380-WJKOV,No,Yes,,Male,Fiber optic,,106.35,Yes,Yes,No,Yes,No,Electronic check,Yes,,,,,0,Yes,Yes,,No,34.0,3549.25,,,
,Yes,Month-to-month,,TEL_8168-UQWWF,No,Yes,,Female,Fiber optic,,97.85,Yes,No,No,Yes,No,Bank transfer (automatic),Yes,,,,,0,Yes,Yes,,No,11.0,1105.4,,,
,No,One year,,TEL_8865-TNMNX,Yes,No,,Male,DSL,,49.55,No,Yes,No,No,Yes,Mailed check,Yes,,,,,0,No,No,,No,10.0,475.7,,,
,No,Two year,,TEL_9489-DEDVP,Yes,No,,Female,DSL,,69.2,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,0,No,Yes,,No,70.0,4872.35,,,
,No,One year,,TEL_9867-JCZSP,Yes,No internet service,,Female,No,,20.75,No,No internet service,No internet service,No,Yes,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,17.0,418.25,,,
,No,Two year,,TEL_4671-VJLCL,No,Yes,,Female,DSL,,79.85,Yes,Yes,Yes,Yes,No,Credit card (automatic),Yes,,,,,0,No,Yes,,Yes,63.0,4861.45,,,
,No,Month-to-month,,TEL_4080-IIARD,No,No,,Female,DSL,,76.2,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,,,,,0,No,Yes,,Yes,13.0,981.45,,,
,No,Month-to-month,,TEL_3714-NTNFO,No,No,,Female,Fiber optic,,84.5,Yes,No,No,Yes,No,Electronic check,Yes,,,,,0,Yes,No,,No,49.0,3906.7,,,
,No,Month-to-month,,TEL_5948-UJZLF,No,No,,Male,DSL,,49.25,No,Yes,No,No,No,Mailed check,Yes,,,,,0,No,No,,No,2.0,97,,,
,Yes,Month-to-month,,TEL_7760-OYPDY,No,No,,Female,Fiber optic,,80.65,No,No,No,Yes,No,Electronic check,Yes,,,,,0,No,Yes,,No,2.0,144.15,,,
,No,Two year,,TEL_7639-LIAYI,No,No,,Male,DSL,,79.75,Yes,No,Yes,Yes,No,Credit card (automatic),Yes,,,,,0,Yes,Yes,,Yes,52.0,4217.8,,,
,No,Two year,,TEL_2954-PIBKO,Yes,Yes,,Female,DSL,,64.15,Yes,No,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,0,No,No,,Yes,69.0,4254.1,,,
,No,Month-to-month,,TEL_8012-SOUDQ,No,No,,Female,Fiber optic,,90.25,Yes,Yes,No,Yes,No,Electronic check,Yes,,,,,1,No,Yes,,No,43.0,3838.75,,,
,Yes,Month-to-month,,TEL_9420-LOJKX,No,No,,Female,Fiber optic,,99.1,No,Yes,Yes,Yes,No,Credit card (automatic),Yes,,,,,0,Yes,Yes,,No,15.0,1426.4,,,
,No,Month-to-month,,TEL_6575-SUVOI,No,No,,Female,DSL,,69.5,Yes,No,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,1,No,Yes,,Yes,25.0,1752.65,,,
,Yes,Month-to-month,,TEL_7495-OOKFY,No,No,,Female,Fiber optic,,80.65,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,,,,,1,No,No,,No,8.0,633.3,,,
,No,One year,,TEL_4667-QONEA,Yes,Yes,,Female,DSL,,74.85,No,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,1,Yes,No,,Yes,60.0,4456.35,,,
,Yes,Month-to-month,,TEL_1658-BYGOY,No,No,,Male,Fiber optic,,95.45,Yes,No,No,Yes,No,Electronic check,Yes,,,,,1,Yes,Yes,,No,18.0,1752.55,,,
,No,One year,,TEL_8769-KKTPH,Yes,No,,Female,Fiber optic,,99.65,Yes,No,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,0,Yes,Yes,,No,63.0,6311.2,,,
,No,One year,,TEL_5067-XJQFU,Yes,Yes,,Male,Fiber optic,,108.45,Yes,Yes,No,Yes,Yes,Electronic check,Yes,,,,,1,Yes,Yes,,Yes,66.0,7076.35,,,
,No,Two year,,TEL_3957-SQXML,Yes,No internet service,,Female,No,,24.95,Yes,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,34.0,894.3,,,
,No,Two year,,TEL_5954-BDFSG,No,Yes,,Female,Fiber optic,,107.5,Yes,No,No,Yes,No,Credit card (automatic),Yes,,,,,0,Yes,Yes,,Yes,72.0,7853.7,,,
,No,Month-to-month,,TEL_0434-CSFON,No,Yes,,Female,Fiber optic,,100.5,Yes,No,No,Yes,Yes,Electronic check,Yes,,,,,0,Yes,Yes,,No,47.0,4707.1,,,
,No,Month-to-month,,TEL_1215-FIGMP,No,No,,Male,Fiber optic,,89.9,Yes,Yes,No,Yes,No,Bank transfer (automatic),Yes,,,,,0,No,Yes,,No,60.0,5450.7,,,
,No,Two year,,TEL_0526-SXDJP,No,Yes,,Male,DSL,,42.1,No phone service,Yes,Yes,No,Yes,Bank transfer (automatic),No,,,,,0,No,No,,No,72.0,2962,,,
,No,One year,,TEL_0557-ASKVU,Yes,Yes,,Female,DSL,,54.4,No,No,No,Yes,Yes,Credit card (automatic),Yes,,,,,0,No,No,,Yes,18.0,957.1,,,
,Yes,Month-to-month,,TEL_5698-BQJOH,No,No,,Female,Fiber optic,,94.4,Yes,No,No,No,No,Electronic check,Yes,,,,,0,Yes,Yes,,No,9.0,857.25,,,
,No,Month-to-month,,TEL_5122-CYFXA,No,No,,Female,DSL,,75.3,No,Yes,No,Yes,No,Electronic check,Yes,,,,,0,Yes,Yes,,Yes,3.0,244.1,,,
,No,One year,,TEL_8627-ZYGSZ,No,No,,Male,Fiber optic,,78.9,Yes,Yes,No,Yes,Yes,Electronic check,Yes,,,,,0,No,No,,No,47.0,3650.35,,,
,No,Two year,,TEL_3410-YOQBQ,No,Yes,,Female,DSL,,79.2,No,Yes,No,No,No,Mailed check,Yes,,,,,0,Yes,Yes,,Yes,31.0,2497.2,,,
,No,Two year,,TEL_3170-NMYVV,Yes,No internet service,,Female,No,,20.15,No,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,50.0,930.9,,,
,No,Month-to-month,,TEL_7410-OIEDU,No,Yes,,Male,Fiber optic,,79.85,No,No,Yes,Yes,No,Mailed check,Yes,,,,,0,No,No,,No,10.0,887.35,,,
,No,Month-to-month,,TEL_2273-QCKXA,No,No,,Male,DSL,,49.05,No,No,No,No,No,Mailed check,Yes,,,,,0,No,No,,Yes,1.0,49.05,,,
,No,One year,,TEL_0731-EBJQB,Yes,No internet service,,Female,No,,20.4,No,No internet service,No internet service,Yes,Yes,Electronic check,Yes,,,,,0,No internet service,No internet service,,No internet service,52.0,1090.65,,,
,No,Two year,,TEL_1891-QRQSA,Yes,Yes,,Male,Fiber optic,,111.6,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,,,,,1,Yes,Yes,,Yes,64.0,7099,,,
,No,Two year,,TEL_8028-PNXHQ,Yes,No internet service,,Male,No,,24.25,Yes,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,62.0,1424.6,,,
,No,Month-to-month,,TEL_5630-AHZIL,Yes,No,,Female,DSL,,64.5,No,No,Yes,Yes,No,Bank transfer (automatic),Yes,,,,,0,Yes,No,,Yes,3.0,177.4,,,
,No,One year,,TEL_2673-CXQEU,No,Yes,,Female,Fiber optic,,110.5,Yes,Yes,Yes,No,No,Electronic check,Yes,,,,,1,Yes,Yes,,No,56.0,6139.5,,,
,No,One year,,TEL_6416-JNVRK,No,No,,Female,DSL,,55.65,No,No,No,No,No,Credit card (automatic),Yes,,,,,0,Yes,No,,No,46.0,2688.85,,,
,No,Month-to-month,,TEL_5590-ZSKRV,Yes,No,,Female,DSL,,54.65,No,Yes,Yes,No,Yes,Mailed check,Yes,,,,,0,No,No,,No,8.0,482.25,,,
,No,Month-to-month,,TEL_0191-ZHSKZ,No,No,,Male,DSL,,74.75,No,Yes,Yes,Yes,No,Electronic check,Yes,,,,,1,Yes,Yes,,No,30.0,2111.3,,,
,No,One year,,TEL_3887-PBQAO,Yes,No internet service,,Female,No,,25.9,Yes,No internet service,No internet service,Yes,Yes,Credit card (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,45.0,1216.6,,,
,Yes,Month-to-month,,TEL_5919-TMRGD,Yes,No,,Female,Fiber optic,,79.35,No,No,No,Yes,No,Electronic check,Yes,,,,,0,No,Yes,,No,1.0,79.35,,,
,No,Month-to-month,,TEL_8108-UXRQN,Yes,No,,Female,DSL,,50.55,No phone service,No,Yes,No,Yes,Electronic check,No,,,,,0,Yes,Yes,,No,11.0,565.35,,,
,Yes,Month-to-month,,TEL_9191-MYQKX,No,Yes,,Female,Fiber optic,,75.15,No,No,No,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,No,No,,No,7.0,496.9,,,
,No,Month-to-month,,TEL_9919-YLNNG,No,Yes,,Female,Fiber optic,,103.8,No,Yes,No,Yes,No,Bank transfer (automatic),Yes,,,,,0,Yes,Yes,,Yes,42.0,4327.5,,,
,No,Two year,,TEL_0318-ZOPWS,No,No internet service,,Female,No,,20.15,No,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,49.0,973.35,,,
,No,Month-to-month,,TEL_4445-ZJNMU,No,No,,Male,Fiber optic,,99.3,Yes,Yes,No,Yes,No,Credit card (automatic),Yes,,,,,0,Yes,Yes,,No,9.0,918.75,,,
,No,One year,,TEL_4808-YNLEU,No,No,,Female,DSL,,62.15,No,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,No,Yes,,No,35.0,2215.45,,,
,No,Two year,,TEL_1862-QRWPE,Yes,No internet service,,Female,No,,20.65,No,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,48.0,1057,,,
,No,Two year,,TEL_2796-NNUFI,Yes,No internet service,,Female,No,,19.95,No,No internet service,No internet service,Yes,Yes,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,46.0,927.1,,,
,No,Month-to-month,,TEL_3016-KSVCP,No,No,,Male,DSL,,33.75,No phone service,No,No,No,Yes,Mailed check,No,,,,,0,No,Yes,,No,29.0,1009.25,,,
,No,Month-to-month,,TEL_4767-HZZHQ,Yes,Yes,,Male,Fiber optic,,82.05,No,Yes,No,No,Yes,Bank transfer (automatic),Yes,,,,,0,No,No,,No,30.0,2570.2,,,
,No,Month-to-month,,TEL_2424-WVHPL,No,No,,Male,Fiber optic,,74.7,No,No,No,No,No,Electronic check,Yes,,,,,1,No,No,,Yes,1.0,74.7,,,
,No,Two year,,TEL_7233-PAHHL,Yes,Yes,,Male,DSL,,84.0,Yes,No,Yes,Yes,Yes,Mailed check,Yes,,,,,0,Yes,Yes,,Yes,66.0,5714.25,,,
,No,Month-to-month,,TEL_6067-NGCEU,No,Yes,,Female,Fiber optic,,111.05,Yes,Yes,Yes,Yes,No,Credit card (automatic),Yes,,,,,0,Yes,Yes,,No,65.0,7107,,,
,No,Two year,,TEL_9848-JQJTX,No,Yes,,Male,Fiber optic,,100.9,Yes,Yes,No,Yes,No,Bank transfer (automatic),Yes,,,,,0,Yes,Yes,,No,72.0,7459.05,,,
,Yes,Month-to-month,,TEL_8637-XJIVR,No,No,,Female,Fiber optic,,78.95,Yes,No,Yes,Yes,No,Electronic check,Yes,,,,,0,No,No,,No,12.0,927.35,,,
,No,One year,,TEL_9803-FTJCG,Yes,No,,Male,DSL,,66.85,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,,,,,0,No,No,,Yes,71.0,4748.7,,,
,Yes,Month-to-month,,TEL_0278-YXOOG,No,No internet service,,Male,No,,21.05,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,5.0,113.85,,,
,No,Two year,,TEL_3212-KXOCR,No,No internet service,,Male,No,,21.0,No,No internet service,No internet service,No,No,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,52.0,1107.2,,,
,Yes,Month-to-month,,TEL_4598-XLKNJ,No,Yes,,Female,Fiber optic,,98.5,No,Yes,No,Yes,Yes,Electronic check,Yes,,,,,1,Yes,Yes,,No,25.0,2514.5,,,
,No,Month-to-month,,TEL_6380-ARCEH,No,No internet service,,Male,No,,20.2,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,1.0,20.2,,,
,No,Month-to-month,,TEL_3679-XASPY,Yes,No internet service,,Female,No,,19.45,No,No internet service,No internet service,No,Yes,Electronic check,Yes,,,,,0,No internet service,No internet service,,No internet service,1.0,19.45,,,
,No,One year,,TEL_7123-WQUHX,No,Yes,,Male,Fiber optic,,95.0,Yes,No,No,No,No,Bank transfer (automatic),Yes,,,,,0,No,Yes,,Yes,38.0,3605.6,,,
,No,One year,,TEL_5386-THSLQ,No,Yes,,Female,DSL,,45.55,No phone service,Yes,No,No,Yes,Bank transfer (automatic),No,,,,,1,No,Yes,,No,66.0,3027.25,,,
,Yes,Two year,,TEL_3192-NQECA,No,Yes,,Male,Fiber optic,,110.0,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,Yes,Yes,,Yes,68.0,7611.85,,,
,No,Month-to-month,,TEL_6180-YBIQI,No,No,,Male,DSL,,24.3,No phone service,No,No,No,No,Mailed check,No,,,,,0,No,No,,No,5.0,100.2,,,
,No,One year,,TEL_6728-DKUCO,Yes,No,,Female,Fiber optic,,104.15,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,,,,,0,Yes,Yes,,No,72.0,7303.05,,,
,No,One year,,TEL_9750-BOOHV,No,No,,Female,DSL,,30.15,No phone service,No,Yes,No,No,Mailed check,No,,,,,0,No,No,,No,32.0,927.65,,,
,No,One year,,TEL_8597-CWYHH,No,No,,Male,Fiber optic,,94.35,Yes,No,No,No,No,Mailed check,Yes,,,,,0,Yes,Yes,,No,43.0,3921.3,,,
,No,Two year,,TEL_2848-YXSMW,Yes,No internet service,,Male,No,,19.4,No,No internet service,No internet service,No,Yes,Credit card (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,72.0,1363.25,,,
,Yes,Month-to-month,,TEL_0486-HECZI,No,No,,Male,Fiber optic,,96.75,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,,,,,0,No,Yes,,No,55.0,5238.9,,,
,No,One year,,TEL_4549-ZDQYY,No,Yes,,Female,DSL,,57.95,No,No,Yes,No,No,Credit card (automatic),Yes,,,,,0,No,No,,Yes,52.0,3042.25,,,
,No,Month-to-month,,TEL_5712-AHQNN,No,Yes,,Female,Fiber optic,,91.65,No,Yes,No,Yes,No,Electronic check,Yes,,,,,0,No,Yes,,No,43.0,3954.1,,,
,Yes,Month-to-month,,TEL_4846-WHAFZ,No,No,,Female,Fiber optic,,76.5,Yes,No,No,Yes,Yes,Electronic check,Yes,,,,,1,No,No,,No,37.0,2868.15,,,
,No,Two year,,TEL_5256-SKJGO,Yes,No,,Female,DSL,,54.6,No phone service,Yes,No,Yes,Yes,Electronic check,No,,,,,0,Yes,Yes,,Yes,64.0,3423.5,,,
,No,Month-to-month,,TEL_3071-VBYPO,Yes,No,,Male,Fiber optic,,89.85,No,Yes,Yes,No,Yes,Electronic check,Yes,,,,,0,No,Yes,,No,3.0,248.4,,,
,No,Two year,,TEL_9560-BBZXK,No,No,,Female,DSL,,31.05,No phone service,No,Yes,No,No,Bank transfer (automatic),No,,,,,0,No,No,,No,36.0,1126.35,,,
,Yes,Month-to-month,,TEL_5299-RULOA,Yes,No,,Female,Fiber optic,,100.25,Yes,No,Yes,Yes,Yes,Electronic check,Yes,,,,,0,Yes,Yes,,No,10.0,1064.65,,,
,No,Two year,,TEL_8402-OOOHJ,No,No internet service,,Female,No,,20.65,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,41.0,835.15,,,
,No,Month-to-month,,TEL_9445-ZUEQE,Yes,No,,Male,Fiber optic,,85.2,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,,,,,0,No,No,,Yes,27.0,2151.6,,,
,No,One year,,TEL_1091-SOZGA,Yes,Yes,,Female,Fiber optic,,99.8,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,,,,,0,Yes,Yes,,No,56.0,5515.45,,,
,No,Month-to-month,,TEL_2928-HLDBA,No,No internet service,,Female,No,,20.7,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,6.0,112.75,,,
,Yes,Month-to-month,,TEL_0404-SWRVG,No,No,,Male,Fiber optic,,74.4,Yes,No,No,Yes,No,Electronic check,Yes,,,,,0,No,No,,No,3.0,229.55,,,
,No,Month-to-month,,TEL_6497-TILVL,Yes,No,,Female,DSL,,50.7,No,No,Yes,No,Yes,Mailed check,Yes,,,,,0,No,No,,No,7.0,350.35,,,
,No,Month-to-month,,TEL_7219-TLZHO,Yes,No internet service,,Female,No,,20.85,No,No internet service,No internet service,No,Yes,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,4.0,62.9,,,
,No,Two year,,TEL_4622-YNKIJ,No,No,,Male,Fiber optic,,88.95,No,No,Yes,Yes,No,Electronic check,Yes,,,,,0,No,Yes,,Yes,33.0,3027.65,,,
,Yes,Month-to-month,,TEL_4412-YLTKF,No,Yes,,Female,Fiber optic,,78.05,Yes,No,No,Yes,No,Electronic check,Yes,,,,,1,No,No,,No,27.0,2135.5,,,
,No,Two year,,TEL_6734-PSBAW,No,No internet service,,Male,No,,23.55,Yes,No internet service,No internet service,Yes,Yes,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,72.0,1723.95,,,
,No,Month-to-month,,TEL_3930-ZGWVE,No,No internet service,,Male,No,,19.75,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,1.0,19.75,,,
,No,One year,,TEL_2639-UGMAZ,No,No,,Male,DSL,,56.45,No phone service,Yes,Yes,Yes,No,Electronic check,No,,,,,1,Yes,Yes,,No,71.0,3985.35,,,
,No,Month-to-month,,TEL_2876-GZYZC,No,No,,Female,Fiber optic,,85.95,Yes,No,No,Yes,No,Electronic check,Yes,,,,,0,Yes,No,,No,13.0,1215.65,,,
,Yes,Month-to-month,,TEL_6207-WIOLX,Yes,Yes,,Female,DSL,,58.6,No phone service,Yes,Yes,Yes,Yes,Credit card (automatic),No,,,,,0,Yes,Yes,,No,25.0,1502.65,,,
,No,Two year,,TEL_8587-XYZSF,No,No,,Male,DSL,,50.55,No,No,No,No,No,Bank transfer (automatic),Yes,,,,,0,No,No,,Yes,67.0,3260.1,,,
,Yes,Month-to-month,,TEL_3091-FYHKI,No,No,,Male,DSL,,35.45,No phone service,No,No,Yes,No,Electronic check,No,,,,,0,Yes,No,,No,1.0,35.45,,,
,Yes,Month-to-month,,TEL_2372-HWUHI,No,No,,Male,DSL,,44.35,No,No,No,No,No,Electronic check,Yes,,,,,0,No,No,,No,2.0,81.25,,,
,No,Two year,,TEL_7799-LGRDP,No,No internet service,,Female,No,,25.7,Yes,No internet service,No internet service,Yes,No,Credit card (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,43.0,1188.2,,,
,No,Month-to-month,,TEL_7850-VWJUU,No,No,,Female,Fiber optic,,75.0,No,No,Yes,Yes,No,Bank transfer (automatic),Yes,,,,,0,No,No,,No,23.0,1778.5,,,
,No,Two year,,TEL_3774-VBNXY,Yes,No internet service,,Female,No,,20.2,No,No internet service,No internet service,No,Yes,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,64.0,1277.75,,,
